Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
245;1.55629e+15;0.999996;6.38549e-05;-805.138;815.027
246;1.55629e+15;0.999997;6.32873e-05;-805.31;814.855
247;1.55629e+15;0.999997;6.32873e-05;-805.31;814.855
248;1.55629e+15;0.999997;6.32873e-05;-805.31;814.855
249;1.55629e+15;0.999997;6.32873e-05;-805.31;814.855
250;1.55629e+15;0.999997;6.32873e-05;-805.31;814.855
251;1.55629e+15;0.999997;6.32449e-05;-805.302;814.847
252;1.55629e+15;0.999997;6.32449e-05;-805.302;814.847
253;1.55629e+15;0.999997;6.32449e-05;-805.302;814.847
254;1.55629e+15;0.999997;6.32351e-05;-805.305;814.844
255;1.55629e+15;0.999997;6.32351e-05;-805.305;814.844
256;1.55629e+15;0.999997;6.32351e-05;-805.305;814.844
257;1.55629e+15;0.999997;6.32351e-05;-805.305;814.844
258;1.55629e+15;0.999997;6.32351e-05;-805.305;814.844
259;1.55629e+15;0.999998;6.17796e-05;-805.746;814.403
260;1.55629e+15;0.999998;6.17796e-05;-805.746;814.403
261;1.55629e+15;0.999997;6.06982e-05;-805.527;814.184
262;1.55629e+15;0.999997;6.06982e-05;-805.527;814.184
263;1.55629e+15;0.999997;6.06982e-05;-805.527;814.184
264;1.55629e+15;0.999997;6.00021e-05;-805.41;814.039
265;1.55629e+15;0.999997;6.00021e-05;-805.41;814.039
266;1.55629e+15;0.999997;6.00021e-05;-805.41;814.039
267;1.55629e+15;0.999996;5.93411e-05;-805.277;813.906
268;1.55629e+15;0.999996;5.91154e-05;-805.345;813.837
269;1.55629e+15;0.999996;5.91154e-05;-805.345;813.837
270;1.55629e+15;0.999996;5.84662e-05;-805.214;813.706
271;1.55629e+15;0.999996;5.84662e-05;-805.214;813.706
272;1.55629e+15;0.999997;5.72615e-05;-805.579;813.341
273;1.55629e+15;0.999997;5.68643e-05;-805.7;813.221
274;1.55629e+15;0.999997;5.68643e-05;-805.7;813.221
275;1.55629e+15;0.999997;5.68643e-05;-805.7;813.221
276;1.55629e+15;0.999996;5.62239e-05;-805.571;813.091
277;1.55629e+15;0.999996;5.62239e-05;-805.571;813.091
278;1.55629e+15;0.999996;5.62239e-05;-805.571;813.091
279;1.55629e+15;0.999996;5.62239e-05;-805.571;813.091
280;1.55629e+15;0.999996;5.62239e-05;-805.571;813.091
281;1.55629e+15;0.999996;5.62239e-05;-805.571;813.091
282;1.55629e+15;0.999997;5.61287e-05;-805.599;813.063
283;1.55629e+15;0.999997;5.61287e-05;-805.599;813.063
284;1.55629e+15;0.999997;5.54856e-05;-805.794;812.868
285;1.55629e+15;0.999997;5.54856e-05;-805.794;812.868
286;1.55629e+15;0.999997;5.54856e-05;-805.794;812.868
287;1.55629e+15;0.999997;5.54856e-05;-805.794;812.868
288;1.55629e+15;0.999996;5.41149e-05;-805.518;812.591
289;1.55629e+15;0.999996;5.41149e-05;-805.518;812.591
290;1.55629e+15;0.999996;5.39027e-05;-805.582;812.527
291;1.55629e+15;0.999994;5.19464e-05;-805.187;812.132
292;1.55629e+15;0.999994;5.19464e-05;-805.187;812.132
293;1.55629e+15;0.999994;5.19464e-05;-805.187;812.132
294;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
295;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
296;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
297;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
298;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
299;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
300;1.55629e+15;0.999995;5.13165e-05;-805.378;811.941
301;1.55629e+15;0.999996;5.04469e-05;-805.641;811.677
302;1.55629e+15;0.999996;5.04469e-05;-805.641;811.677
303;1.55629e+15;0.999996;5.04469e-05;-805.641;811.677
304;1.55629e+15;0.999996;5.04469e-05;-805.641;811.677
305;1.55629e+15;0.999996;5.04469e-05;-805.641;811.677
